t,S_ref,R_ref,I_ref,C_ref,S_ode,R_ode,I_ode,C_ode,S_supermodel,R_supermodel,I_supermodel,C_supermodel,S_supernet,R_supernet,I_supernet,C_supernet
65.2,0.0038158687030267814,0.04479018355675377,0.009135268611415932,0.04868873457938464,0.0038158687030267814,0.04479018355675377,0.009135268611415932,0.04868873457938464,0.0,0.28326097,0.054749515,0.05017051,0.008384858,0.027201673,0.0059437193,0.061389737
65.4,0.003815915571187031,0.04500272926598989,0.00914729078658207,0.04405538888466477,0.003815915571187031,0.04500272926598989,0.00914729078658207,0.04405538888466477,0.0,0.28467596,0.054949887,0.04563679,0.008364998,0.027190536,0.0059252325,0.06117312
65.60000000000001,0.0038187116811719715,0.04522014402593194,0.009159932164795855,0.039862964329346814,0.0038187116811719715,0.04522014402593194,0.009159932164795855,0.039862964329346814,0.0,0.28611735,0.055152066,0.041534934,0.008345374,0.027179284,0.0059067453,0.06095757
65.8,0.0038239950082447865,0.045442116876722095,0.009173209496543381,0.03606950171936677,0.0038239950082447865,0.045442116876722095,0.009173209496543381,0.03606950171936677,0.0,0.28758308,0.055356104,0.03782381,0.008325987,0.027167914,0.005888495,0.060743097
66.0,0.003831533651924388,0.04566836548939559,0.009187137050495574,0.03263703480590379,0.003831533651924388,0.04566836548939559,0.009187137050495574,0.03263703480590379,0.0,0.28907126,0.055562045,0.034466222,0.008306598,0.027156314,0.005870245,0.060529698
66.2,0.0038411219025759626,0.04589863356755342,0.009201726882064264,0.029531210306402746,0.0038411219025759626,0.04589863356755342,0.009201726882064264,0.029531210306402746,0.0,0.29058015,0.05576993,0.0314285,0.008287327,0.027144594,0.0058521125,0.060317382
66.4,0.003852576895117974,0.04613268849099633,0.009216989072464559,0.02672094408537484,0.003852576895117974,0.04613268849099633,0.009216989072464559,0.02672094408537484,0.0,0.2921082,0.055979796,0.02868019,0.008268175,0.02713276,0.005834098,0.060106024
66.60000000000001,0.003865735752173971,0.04637031917653538,0.009232931941899999,0.024178110053922248,0.003865735752173971,0.04637031917653538,0.009232931941899999,0.024178110053922248,0.0,0.29365396,0.056191668,0.026193732,0.008249258,0.027120812,0.0058162017,0.059895862
66.8,0.0038804531365069133,0.04661133413451998,0.00924956223997325,0.02187725867438714,0.0038804531365069133,0.04661133413451998,0.00924956223997325,0.02187725867438714,0.0,0.29521614,0.056405567,0.023944195,0.008230341,0.027108746,0.005798424,0.059686664
67.0,0.003896599146792391,0.04685555970226797,0.009266885315995843,0.019795362252824286,0.003896599146792391,0.04685555970226797,0.009266885315995843,0.019795362252824286,0.0,0.29679358,0.056621507,0.021909017,0.00821166,0.027096447,0.005780646,0.059478547
