t,PDE_TB,ODE_TB,Supermodel_TB,SuperNet_TB
6.16,0.01035993408357058,0.009977551703297213,0.0,0.02287214
6.2,0.01028282622568251,0.009919816983045842,0.0,0.022996416
6.24,0.01020795910748047,0.009863547762568991,0.0,0.023118814
6.28,0.010135227244027429,0.009808685970008599,0.0,0.023238914
6.32,0.010064531515526574,0.009755176569246314,0.0,0.023356361
6.36,0.009995778737578623,0.009702967379839366,0.0,0.023472013
6.4,0.0099288812626109,0.00965200890851848,0.0,0.023585336
6.44,0.009863756610084245,0.009602254191458489,0.0,0.023696924
6.48,0.009800327123277124,0.009553658646589091,0.0,0.02380647
6.5200000000000005,0.009738519650623412,0.009506179935265712,0.0,0.023913873
6.5600000000000005,0.009678265249742258,0.009459777832669033,0.0,0.024019038
6.6000000000000005,0.009619498912446983,0.009414414106346629,0.0,0.024122624
6.640000000000001,0.009562159309156049,0.009370052402351775,0.0,0.024224116
6.68,0.009506188551253835,0.009326658138472948,0.0,0.024323741
6.72,0.009451531970063364,0.00928419840408318,0.0,0.024421526
6.76,0.009398137911198132,0.00924264186617144,0.0,0.024517389
6.8,0.00934595754315646,0.009201958681148798,0.0,0.024611363
6.84,0.009294944679110313,0.00916212041205041,0.0,0.024703907
6.88,0.009245055610921656,0.009123099950780724,0.0,0.02479442
6.92,0.009196248954494182,0.009084871445073566,0.0,0.024883425
6.96,0.009148485505636711,0.009047410229861394,0.0,0.024970746
7.0,0.009101728105677739,0.009010692762768979,0.0,0.025056655
7.04,0.009055941516128544,0.0089746965634662,0.0,0.025140697
7.08,0.009011092301745635,0.008939400156632665,0.0,0.025222743
7.12,0.00896714872139252,0.0089047830183037,0.0,0.025303965
7.16,0.008924080626145836,0.008870825525382748,0.0,0.025383474
7.2,0.008881859364132745,0.008837508908119712,0.0,0.025461467
7.24,0.008840457691624608,0.008804815205368233,0.0,0.02553801
7.28,0.008799849689947556,0.00877272722244733,0.0,0.02561303
7.32,0.008760010687803023,0.008741228491444505,0.0,0.02568671
7.36,0.00872091718862137,0.00871030323380819,0.0,0.02575898
7.4,0.008682546802599556,0.008679936325087458,0.0,0.025830513
7.44,0.008644878183099287,0.008650113261686257,0.0,0.025900105
7.48,0.00860789096710576,0.008620820129508192,0.0,0.025968408
7.5200000000000005,0.008571565719468906,0.00859204357437589,0.0,0.026035743
7.5600000000000005,0.008535883880669183,0.008563770774116576,0.0,0.026101759
7.6000000000000005,0.008500827717868586,0.00853598941221258,0.0,0.026166825
7.640000000000001,0.008466380279024719,0.00850868765292187,0.0,0.026230382
7.68,0.008432525349861705,0.008481854117780003,0.0,0.026292821
7.72,0.008399247413506408,0.00845547786340045,0.0,0.026354598
7.76,0.008366531612612015,0.008429548360495575,0.0,0.02641501
7.8,0.008334363713803687,0.008404055474045569,0.0,0.026474414
7.84,0.008302730074292521,0.00837898944454712,0.0,0.026532823
7.88,0.008271617610515003,0.00835434087027803,0.0,0.026590055
7.92,0.008241013768664972,0.008330100690517971,0.0,0.026646698
7.96,0.008210906496994526,0.008306260169669273,0.0,0.026702223
8.0,0.008181284219768702,0.008282810882225218,0.0,0.02675687
8.040000000000001,0.00815213581276691,0.008259744698536547,0.0,0.026810339
8.08,0.008123450580231301,0.008237053771329923,0.0,0.026863346
8.120000000000001,0.008095218233169206,0.008214730522935018,0.0,0.026915273
8.16,0.008067428868923076,0.008192767633179495,0.0,0.026966264
8.2,0.008040072951927242,0.008171158027913683,0.0,0.027016735
8.24,0.008013141295576318,0.008149894868129082,0.0,0.02706643
8.28,0.007986625045135086,0.008128971539637016,0.0,0.027115392
8.32,0.007960515661624468,0.008108381643275781,0.0,0.027163258
8.36,0.007934804906622598,0.008088118985616573,0.0,0.02721068
